,beds,baths,size,lot_size,price
162,2,1.0,16128,4000.0,yes
163,2,2.0,16128,3871.059694427803,yes
164,5,2.5,16128,8741.0,yes
165,1,1.0,16128,3871.059694427803,yes
166,2,1.5,16128,1494.0,yes
167,3,2.0,16128,6000.0,yes
168,3,1.5,16128,3871.059694427803,yes
169,3,2.0,16128,4400.0,yes
170,4,2.5,16128,4590.0,yes
171,5,3.5,16128,7200.0,yes
172,2,2.0,16128,3871.059694427803,yes
173,3,2.5,16128,7200.0,yes
174,3,2.5,16128,9880.0,yes
175,3,1.0,16128,5960.0,yes
176,2,1.5,16128,43560.0,yes
177,4,3.0,16128,9625.0,yes
178,5,3.0,16128,5750.0,yes
179,5,3.0,16128,5000.0,yes
180,2,2.0,16128,3871.059694427803,yes
181,2,2.0,16128,5000.0,yes
182,1,1.0,16128,3871.059694427803,yes
183,3,2.0,16128,870.0,yes
184,2,1.5,16128,3871.059694427803,yes
185,2,1.0,16128,3399.0,yes
186,4,3.5,16128,12632.4,yes
187,6,5.0,16128,5500.0,yes
188,3,1.5,16128,6556.0,yes
189,1,1.0,16128,3871.059694427803,yes
190,2,3.0,16128,16117.199999999999,yes
191,1,1.0,16128,3871.059694427803,yes
192,4,2.0,16128,5000.0,yes
193,4,2.5,16128,5146.0,yes
194,6,3.0,16128,32670.0,yes
195,5,3.0,16128,18730.8,yes
196,3,1.0,16128,4349.0,yes
197,4,2.0,16128,7200.0,yes
198,2,1.5,16128,3871.059694427803,yes
199,2,1.0,16128,6150.0,yes
200,4,4.5,16128,7025.0,yes
201,1,1.0,16128,3871.059694427803,yes
202,5,3.5,16128,6328.0,yes
203,1,1.0,16128,13503.6,yes
204,3,3.5,16128,3871.059694427803,yes
205,4,2.0,16128,5166.0,yes
206,3,2.5,16128,1950.0,yes
207,5,3.5,16128,10454.4,yes
208,4,3.0,16128,3600.0,yes
209,2,1.5,16128,43560.0,yes
210,2,2.0,16128,720.0,yes
211,3,3.0,16128,5000.0,yes
212,1,1.0,16128,3871.059694427803,yes
213,2,1.0,16128,4625.0,yes
214,4,3.0,16128,3080.0,yes
215,2,2.0,16128,928.0,yes
216,4,4.0,16128,3589.0,yes
217,3,2.5,16128,5000.0,yes
218,4,4.0,16128,6000.0,yes
219,5,4.0,16128,5200.0,yes
220,4,3.0,16128,9996.0,yes
221,2,1.0,16128,4100.0,yes
222,4,4.5,16128,5000.0,yes
223,2,2.0,16128,2550.0,yes
224,4,3.5,16128,3250.0,yes
225,2,2.0,16128,41817.6,yes
226,4,3.0,16128,4001.0,yes
227,2,2.0,16128,5445.0,yes
228,3,1.5,16128,5760.0,yes
229,2,2.0,16128,1948.0,yes
230,3,2.0,16128,4000.0,yes
231,3,2.5,16128,2250.0,yes
232,15,6.0,16128,14374.800000000001,yes
233,4,2.0,16128,4950.0,yes
234,3,2.5,16128,4250.0,yes
235,1,1.0,16128,3871.059694427803,yes
236,5,3.0,16128,6180.0,yes
237,2,2.0,16128,6750.0,yes
238,2,2.5,16128,5500.0,yes
239,2,1.0,16128,5700.0,yes
240,3,2.0,16128,2909.0,yes
241,2,1.0,16128,4640.0,yes
242,2,2.0,16128,6000.0,yes
243,1,1.0,16128,47480.4,yes
244,3,2.5,16128,7440.0,yes
245,3,2.0,16128,3871.059694427803,yes
246,4,5.5,16128,4983.0,yes
247,4,3.0,16128,4650.0,yes
248,3,2.0,16128,3154.0,yes
249,2,2.0,16128,5950.0,yes
250,2,3.0,16128,915.0,yes
251,1,1.0,16128,3871.059694427803,yes
252,3,2.0,16128,5005.0,yes
253,3,2.5,16128,4305.0,yes
254,3,2.5,16128,1037.0,yes
255,5,3.0,16128,6604.0,yes
256,2,2.0,16128,3871.059694427803,yes
257,3,2.5,16128,1062.0,yes
258,1,1.0,16128,15245.999999999998,yes
259,4,3.0,16128,5136.0,yes
260,2,1.0,16128,6000.0,yes
261,5,2.5,16128,10018.800000000001,yes
262,4,3.5,16128,4000.0,yes
263,3,1.0,16128,8927.0,yes
264,1,1.0,16128,3871.059694427803,yes
265,3,2.5,16128,1602.0,yes
266,2,2.0,16128,179031.6,yes
267,3,2.5,16128,1290.0,yes
268,5,2.5,16128,6350.0,yes
269,4,1.5,16128,5568.0,yes
270,4,3.0,16128,4635.0,yes
271,2,2.5,16128,11761.2,yes
272,3,2.5,16128,1215.0,yes
273,2,2.0,16128,780.0,yes
274,3,2.0,16128,2320.0,yes
275,3,3.0,16128,6350.0,yes
276,1,1.0,16128,4500.0,yes
277,2,1.5,16128,3871.059694427803,yes
278,4,2.0,16128,5500.0,yes
279,3,3.0,16128,5000.0,yes
280,3,2.0,16128,4380.0,yes
281,3,2.5,16128,2973.0,yes
282,4,2.0,16128,8360.0,yes
283,2,3.0,16128,650.0,yes
284,1,1.0,16128,4000.0,yes
285,3,2.0,16128,6400.0,yes
286,1,1.0,16128,3871.059694427803,yes
287,5,3.0,16128,7812.0,yes
288,2,2.0,16128,3871.059694427803,yes
289,2,2.0,16128,5800.0,yes
290,3,2.5,16128,4800.0,yes
291,1,1.0,16128,3871.059694427803,yes
292,4,2.0,16128,7500.0,yes
293,4,1.5,16128,6511.0,yes
294,4,3.0,16128,4480.0,yes
295,3,1.5,16128,9350.0,yes
296,2,1.0,16128,4240.0,yes
297,1,1.0,16128,3871.059694427803,yes
298,4,2.5,16128,2856.0,yes
299,3,4.5,16128,1326.0,yes
300,2,1.0,16128,15245.999999999998,yes
301,3,2.0,16128,900.0,yes
302,3,2.5,16128,1500.0,yes
303,2,1.0,16128,1188.0,yes
304,4,2.0,16128,9295.0,yes
305,1,1.0,16128,3871.059694427803,yes
306,3,2.0,16128,4590.0,yes
307,5,3.0,16128,7980.0,yes
308,3,3.5,16128,2400.0,yes
309,5,3.0,16128,7026.0,yes
310,2,2.0,16128,588.0,yes
311,1,1.0,16128,3871.059694427803,yes
312,3,1.0,16128,2280.0,yes
313,2,5.5,16128,1250.0,yes
314,2,2.0,16128,5250.0,yes
315,1,1.0,16128,3871.059694427803,yes
316,3,1.5,16128,6615.0,yes
317,2,2.0,16128,2164.0,yes
318,3,2.0,16128,4000.0,yes
319,3,2.5,16128,1514.0,yes
320,4,2.5,16128,5500.0,yes
321,4,3.5,16128,4000.0,yes
322,1,1.0,16128,4895.0,yes
323,2,2.0,16128,3871.059694427803,yes
324,5,2.0,16128,5220.0,yes
325,2,1.0,16128,3072.0,yes
